EMISSIEJAAR,VLIEGVELD,VLIEGVELD_CODE,STOFNAAM,STOF_CODE,COMPARTIMENT,COMPARTIMENT_CODE,EMISSIEOORZAAK,EMISSIEOORZAAK_CODE,EMISSIE (kg)
1990,Vliegveld Luchthaven Schiphol,220801,Anthraceen,535,Lucht,10,"Vliegverkeer, APU",0930005,"0,010647538"
1990,Vliegveld Luchthaven Schiphol,220801,Benzeen,515,Lucht,10,"Vliegverkeer, APU",0930005,"109,275126"
1990,Vliegveld Luchthaven Schiphol,220801,Benzo(a)Pyreen,539,Lucht,10,"Vliegverkeer, APU",0930005,"0,003642579"
1990,Vliegveld Luchthaven Schiphol,220801,Benzo(b)Fluorantheen,540,Lucht,10,"Vliegverkeer, APU",0930005,"0,007285158"
1990,Vliegveld Luchthaven Schiphol,220801,Benzo(k)Fluorantheen,541,Lucht,10,"Vliegverkeer, APU",0930005,"0,001905349"
1990,Vliegveld Luchthaven Schiphol,220801,"Dioxinen (PCDD/PCDF, I-TEQ)",614,Lucht,10,"Vliegverkeer, APU",0930005,"1,40099E-07"
1990,Vliegveld Luchthaven Schiphol,220801,Distikstofoxide,205,Lucht,10,"Vliegverkeer, APU",0930005,"900,2728575"
1990,Vliegveld Luchthaven Schiphol,220801,Elementair koolstof (EC2.5),992,Lucht,10,"Vliegverkeer, APU",0930005,"1989,831227"
1990,Vliegveld Luchthaven Schiphol,220801,Etheen,516,Lucht,10,"Vliegverkeer, APU",0930005,"1005,058134"
1990,Vliegveld Luchthaven Schiphol,220801,Fijnstof (PM10),995,Lucht,10,"Vliegverkeer, APU",0930005,"2639,033458"
1990,Vliegveld Luchthaven Schiphol,220801,"Fijnstof (PM2,5)",998,Lucht,10,"Vliegverkeer, APU",0930005,"2639,033458"
1990,Vliegveld Luchthaven Schiphol,220801,Fluorantheen,536,Lucht,10,"Vliegverkeer, APU",0930005,"0,031942615"
1990,Vliegveld Luchthaven Schiphol,220801,Formaldehyde,519,Lucht,10,"Vliegverkeer, APU",0930005,"800,2241533"
1990,Vliegveld Luchthaven Schiphol,220801,"Indeno (1,2,3-c,d)Pyreen",543,Lucht,10,"Vliegverkeer, APU",0930005,"0,002409706"
1990,Vliegveld Luchthaven Schiphol,220801,Koolstofdioxide,204,Lucht,10,"Vliegverkeer, APU",0930005,"28000736,55"
1990,Vliegveld Luchthaven Schiphol,220801,Koolstofmonoxide,201,Lucht,10,"Vliegverkeer, APU",0930005,"101084,9469"
1990,Vliegveld Luchthaven Schiphol,220801,Methaan,523,Lucht,10,"Vliegverkeer, APU",0930005,"50,32362879"
1990,Vliegveld Luchthaven Schiphol,220801,Naftaleen,545,Lucht,10,"Vliegverkeer, APU",0930005,"35,16825889"
1990,Vliegveld Luchthaven Schiphol,220801,NMVOS,506,Lucht,10,"Vliegverkeer, APU",0930005,"5603,967571"
1990,Vliegveld Luchthaven Schiphol,220801,PAK (4 van PRTR),598,Lucht,10,"Vliegverkeer, APU",0930005,"0,015242792"
1990,Vliegveld Luchthaven Schiphol,220801,Stikstofoxiden (als NO2),305,Lucht,10,"Vliegverkeer, APU",0930005,"51650,50507"
1990,Vliegveld Luchthaven Schiphol,220801,Styreen,525,Lucht,10,"Vliegverkeer, APU",0930005,"20,08686136"
1990,Vliegveld Luchthaven Schiphol,220801,Tolueen,526,Lucht,10,"Vliegverkeer, APU",0930005,"41,7338673"
1990,Vliegveld Luchthaven Schiphol,220801,TSP (Totaal stof),999,Lucht,10,"Vliegverkeer, APU",0930005,"2639,033458"
1990,Vliegveld Luchthaven Schiphol,220801,VOS,501,Lucht,10,"Vliegverkeer, APU",0930005,"5603,967571"
1990,Vliegveld Luchthaven Schiphol,220801,Zwaveloxiden (als SO2),306,Lucht,10,"Vliegverkeer, APU",0930005,"9002,728575"
1990,Vliegveld Luchthaven Schiphol,220801,Antimoonverb. (als Sb),102,Lucht,10,"Vliegverkeer, Bandenslijtage",0930008,"0,002043791"
1990,Vliegveld Luchthaven Schiphol,220801,Arseenverb. (als As),103,Lucht,10,"Vliegverkeer, Bandenslijtage",0930008,"0,002043791"
1990,Vliegveld Luchthaven Schiphol,220801,Cadmiumverb. (als Cd),104,Lucht,10,"Vliegverkeer, Bandenslijtage",0930008,"0,002043791"
1990,Vliegveld Luchthaven Schiphol,220801,Chroomverb. (als Cr),105,Lucht,10,"Vliegverkeer, Bandenslijtage",0930008,"0,020437907"
